"FILE_PATH"	"GEO_ID"	"NOMBRE_DEL_PROYECTO"	"RESUMEN_DEL_PROYECTO"	"PMID"	"FECHA_DE_PUBLICACION"	"ORGANISMO"	"BIOPROJECT_ID"	"SRA_ID"	"SERIES_TYPE"	"SAMPLE_TYPE"	"SAMPLE_DESCRIPTION"
"data/GSE106nnn/GSE106512/matrix/metadata.txt.gz"	"GSE106512"	"Transcriptome_analyses_reveal_metabolic_syndrome_of_adulthood_with_intrauterine_growth_restriction_in_a_pig_model"	"Epidemiological_data_indicated_intrauterine_growth_retardation_(IUGR)_is_a_risk_factors_for_adult_metabolic_syndrome._However,_the_genetic_mechanism_underlying_the_phenotype_in_adulthood_is_not_well_characterized._Here,_the_present_study_employed_adult_normal_and_IUGR_pigs_as_models_to_survey_the_difference_of_global_gene_expression_in_the_liver_using_transcriptome_sequence._The_trancriptome_libraries_generated_104.54_gigabases_data,_16,948_and_17,078_genes_were_expressed_in_normal_and_IUGR_pigs,_repectively._A_total_of_1,322_differentially_expreesion_genes_(DGEs)_were_identified._An_enrichment_analysis_of_DGEs_presented_the_top_overrepresented_GO_terms_and_pathway_were_related_to_oxidoreductase_activity,_ATPase_activity,_amino_catabolic_process,_glucose_metabolism_and_Insulin_signaling_pathway._Finally,_combined_their_phenotypes_and_gene_expression_patterns,_we_proved_the_adult_IUGR_pigs_would_obstruct_the_process_of_mitochondrial_biogenesis_and_oxidative_phosphorylation,_which_induced_high_oxidation_press_in_adult_IUGR._The_increased_gluconeogenic_and_decreased_glycogen_synthesis_in_liver_resulted_in_reducing_the_capacity_of_glucose_intolerance_in_IUGR._The_decreased_expression_of_insulin_signaling_genes_(such_as_PI3K_and_AKT)_implied_a_risk_of_diabetes_in_adult_IUGR._Moreover,_the_capacity_of_fatty_acid_oxidation_decreased_in_IUGR_liver_leaded_to_high_content_of_triglyceride_and_free_fatty_acid_in_IUGR._Together,_these_findings_provide_a_comprehensive_understanding_of_the_molecular_mechanisms_of_adult_IUGR_pigs_and_valuable_information_for_future_studies_of_therapeutic_intervention_in_IUGR_metabolic_syndrome."	NA	"Public_on_Nov_04_2017"	"Sus_scrofa"	"PRJNA417068"	"SRP123597"	"Expression_profiling_by_high_throughput_sequencing"	"SRA"	"C1_C_FPKM"
"data/GSE12nnn/GSE12959/matrix/metadata.txt.gz"	"GSE12959"	"Stable_Patterns_of_Gene_Expression_Regulating_Carbohydrate_Metabolism_Determined_by_Geographic_Ancestry"	",Individuals_of_African_descent_in_the_United_States_suffer_disproportionately_from_diseases_with_a_metabolic_etiology_(obesity,_metabolic_syndrome,_and_diabetes),_and_from_the_pathological_consequences_of_these_disorders_(hypertension_and_cardiovascular_disease).__Using_a_combination_of_genetic/genomic_and_bioinformatics_approaches,_we_identified_a_large_number_of_genes_that_were_both_differentially_expressed_between_American_subjects_self-identified_to_be_of_either_African_or_European_ancestry_and_that_also_contained_single_nucleotide_polymorphisms_that_distinguish_distantly_related_ancestral_populations.__Several_of_these_genes_control_the_metabolism_of_simple_carbohydrates_and_are_direct_targets_for_the_SREBP1,_a_metabolic_transcription_factor_also_differentially_expressed_between_our_study_populations.__These_data_support_the_concept_of_stable_patterns_of_gene_transcription_unique_to_a_geographic_ancestral_lineage.__The_coordinated_transcriptional_adaptation_of_carbohydrate_metabolism_to_dietary_environmental_pressures_suggests_a_genetic_and_transcriptional_mechanism_for_the_disproportionate_levels_of_obesity,_diabetes,_and_cardiovascular_disease_observed_in_Americans_with_African_ancestry.,Keywords:_Ancestry-dependent_gene_expression,_functional_genomics,_personalized_medicine,_multi-factoral_disease,_nutrition,_diabetes"	"20016837"	"Public_on_Oct_31_2009"	"Homo_sapiens,!Sample_organism_ch2"	"PRJNA110945"	NA	"Expression_profiling_by_array"	"RNA"	"SAMA0001_CAU_Validation"
"data/GSE13nnn/GSE13237/matrix/metadata.txt.gz"	"GSE13237"	"Effect_of_DEHP_on_adult_mouse_Sertoli_cells_rich_areas_(SCRA)"	",BACKGROUND:_Phthalates_are_manmade_industrial_additives_used_mostly_as_plasticizers._In_addition_to_their_deleterious_effects_on_male_genital_development,_population_studies_have_recently_documented_correlations_between_phthalates_exposure_and_subtle_impacts_on_reproductive_tract_development_and_on_the_metabolic_syndrome_in_male_adults._In_mature_rodents_liver_di-(2-ethylhexyl)-phthalate_(DEHP)_activates_the_peroxisome_proliferators-activated_receptor_(PPARalpha),_a_member_of_the_nuclear_receptor_(NR)_superfamily.__OBJECTIVES:_Using_a_systems_biology_approach,_we_aimed_at_defining_potential_mechanisms_underlying_the_impacts_of_DEHP_on_adult_mouse_liver_and_testis.__METHODS:_Thus,_we_performed_a_parallel_analysis_of_transcript_and_metabolic_profiles_in_the_liver_from_adult_mice_exposed_to_varying_DEHP_doses._Moreover,_we_obtained_pangenomic_mRNA_profiles_of_laser-captured_Leydig_and_Sertoli_cells_from_mature_animals_exposed_to_DEHP.__RESULTS:_Hepatic_genes_modulated_by_DEHP_are_predominantly_PPARalpha_targets._However,_the_induction_of_some_prototypic_cytochrome_P450_genes_strongly_supports_the_activation_of_additional_NR_pathways._Integration_of_hepatic_transcriptomic_and_metabonomic_profiles_further_revealed_a_correlation_between_the_impacts_of_DEHP_on_a_cluster_of_genes_and_metabolites_linked_to_heme_synthesis_and_on_a_cluster_of_Rev-erbalpha_target_genes_related_to_metabolic_and_circadian_clock_pathways._Cell-specific_effects_of_DEHP_were_investigated_in_the_adult_testis_and_a_noticeable_impact_of_DEHP_was_observed_on_Leydig_cells_transcriptome.__CONCLUSIONS:_We_report_a_detailed_analysis_of_DEHP_interference_with_hepatic_Constitutive_Androstane_Receptor_(CAR)_and_Rev-erbalpha_pathways_and_a_novel_transcriptional_impact_of_DEHP_on_adult_endocrine_cells_of_the_testis.,Keywords:_Treatment_effect"	"19245819"	"Public_on_Feb_19_2009"	"Mus_musculus,!Sample_organism_ch2"	"PRJNA114019"	NA	"Expression_profiling_by_array"	"RNA"	"none"
"data/GSE13nnn/GSE13240/matrix/metadata.txt.gz"	"GSE13240"	"Effect_of_DEHP_on_adult_mouse_Leydig_cells"	",BACKGROUND:_Phthalates_are_manmade_industrial_additives_used_mostly_as_plasticizers._In_addition_to_their_deleterious_effects_on_male_genital_development,_population_studies_have_recently_documented_correlations_between_phthalates_exposure_and_subtle_impacts_on_reproductive_tract_development_and_on_the_metabolic_syndrome_in_male_adults._In_mature_rodents_liver_di-(2-ethylhexyl)-phthalate_(DEHP)_activates_the_peroxisome_proliferators-activated_receptor_(PPARalpha),_a_member_of_the_nuclear_receptor_(NR)_superfamily.__OBJECTIVES:_Using_a_systems_biology_approach,_we_aimed_at_defining_potential_mechanisms_underlying_the_impacts_of_DEHP_on_adult_mouse_liver_and_testis.__METHODS:_Thus,_we_performed_a_parallel_analysis_of_transcript_and_metabolic_profiles_in_the_liver_from_adult_mice_exposed_to_varying_DEHP_doses._Moreover,_we_obtained_pangenomic_mRNA_profiles_of_laser-captured_Leydig_and_Sertoli_cells_from_mature_animals_exposed_to_DEHP.__RESULTS:_Hepatic_genes_modulated_by_DEHP_are_predominantly_PPARalpha_targets._However,_the_induction_of_some_prototypic_cytochrome_P450_genes_strongly_supports_the_activation_of_additional_NR_pathways._Integration_of_hepatic_transcriptomic_and_metabonomic_profiles_further_revealed_a_correlation_between_the_impacts_of_DEHP_on_a_cluster_of_genes_and_metabolites_linked_to_heme_synthesis_and_on_a_cluster_of_Rev-erbalpha_target_genes_related_to_metabolic_and_circadian_clock_pathways._Cell-specific_effects_of_DEHP_were_investigated_in_the_adult_testis_and_a_noticeable_impact_of_DEHP_was_observed_on_Leydig_cells_transcriptome.__CONCLUSIONS:_We_report_a_detailed_analysis_of_DEHP_interference_with_hepatic_Constitutive_Androstane_Receptor_(CAR)_and_Rev-erbalpha_pathways_and_a_novel_transcriptional_impact_of_DEHP_on_adult_endocrine_cells_of_the_testis.,Keywords:_Treatment_effect"	"19245819"	"Public_on_Feb_19_2009"	"Mus_musculus,!Sample_organism_ch2"	"PRJNA114021"	NA	"Expression_profiling_by_array"	"RNA"	"none"
"data/GSE13nnn/GSE13268/matrix/metadata.txt.gz"	"GSE13268"	"Diabetes_biomarker_disease_progression_study_in_rat_adipose_tissue"	",Keywords:_Type_2_diabetes,_biomarker,_adipose_tissue,_rat,_time_series,Proposed_research:___Experiments_are_designed_to_study_disease_progression_and_the_development_of_insulin_resistance_in_two_animal_models:__the_GK_rat_and_the_CS_programmed_rat,_with_and_without_a_high_fat_diet_superimposed_on_these_models.__Animals_will_be_maintained_in_our_facility_from_weaning_(GK_rats)_or_birth_(CS_programmed_-_WKY),_and_body_weights_taken_weekly.__Appropriate_diets_(normal_or_high_fat)_will_be_introduced_at_weaning.__Groups_of_animals_(N=6)_will_be_sacrificed_at_5_different_ages:__4,_8,_12,_16,_and_20_weeks.__Plasma_samples_will_be_analyzed_for_markers_of_hyperglycemia,_hyperinsulinemia,_dyslipidimia,_and_for_selected_other_hormonal_factors_which_may_contribute_to_disease_etiology_(adiponectin,_leptin,_corticosterone)._At_sacrifice,_muscle_is_harvested,_flash-frozen_in_liquid_nitrogen,_and_warehoused_in_our_tissue_collection_maintained_at_-_80_degrees_C_for_this_and_possible_future_work.__Study_will_initially_focus_on_examination_of_selected_molecular_markers_of_insulin_resistance_at_the_mRNA_level_in_rat_abdominal_fat_(PEPCK,_IRS-1).,The_goals_and_objectives:_To_study_Type_2_diabetes_progression_and_the_development_of_insulin_resistance_in_two_animal_models_with_and_without_a_high_fat_diet__superimposed_on_these_models.__Background:_Diabetes_is_a_systemic_metabolic_imbalance_involving_multiple_tissues/organs,_and_an_early_hallmark_feature_of_this_disease_state_is_insulin_resistance._Multifactorial_interactions_of_genetics,_prenatal_environmental_factors_(fetal_programming)_and_postnatal_environmental_factors_(nutrition_and_activity)_likely_contribute_to_the_diabetic_phenotype.Animal_models_can_serve_as_a_valuable_tool_for_studying_diabetes_disease_progression_and_for_identifying_useful_biomarkers_of_type_2_diabetes._Several_inbred_rodent_models_are_available_for_diabetes_related_studies.__The_GK_rat_is_an_obvious_choice_among_available_inbred_models_as_the_genetic_basis_for_this_inheritable_form_of_diabetes_is_polygenic_(5),_unlike_most_other_inbred_rodent_models_that_exhibit_single_gene_defects.__Many_of_the_characteristics_of_the_GK_rat_mirror_human_diabetes_(hyperglycemia,_glucose_intolerance,_insulin_resistance),_although_hyperlipidemia_does_not_appear_to_be_prominent_in_the_GK_rat.__Due_to_its_polygenic_mode_of_inheritance_and_100%_penetrance,_the_GK_rat_may_be_a_useful_model_for_human_diabetes._Induced_animal_models_can_also_be_useful_in_diabetes_studies._One_such_model_is_metabolic_syndrome_resulting_from_experimentally_induced_fetal_programming_(produced_by_maternal_malnutrition_or_by_exposure_to_corticosteroids_in_the_third_trimester).__Both_in_humans_and_animals,__accumulating_evidence_suggests_that_alterations_in_the_human_fetal_environment_can_result_in_permanent_physiologic_changes_that_manifest_as_increased_incidence_of_adult_onset_pathology.__Numerous_epidemiological_studies_have_forged_a_strong_link_between_low_birth_weight_and_the_development_of_metabolic_syndrome_in_adulthood.__From_such_observations_has_arisen_the_concept_of_“fetal_programming”_whereby_exposure_to_some_factor(s)_during_crucial_stages_in_development_can_permanently_alter_or_“reset”_physiologic/metabolic_functions.__In_the_rat,_exposure_to_corticosteroids_during_a_“window”_in_third_trimester_gestation_(CS_programming)_results_in_fetal_growth_retardation_and_insulin_resistance_in_adult_offspring.__Genetic_factors_play_a_primarily_role_in_the_etiology_of_diabetes_in_the_GK_rat,_whereas_fetal_environmental_factors_are_causative_in_CS_programming.__(It_should_be_noted_that_although_altered_fetal_environmental_effects,_most_likely_stemming_from_maternal_hyperglycemia,_have_been_implicated_to_play_some_role_in_the_decreased_pancreatic_B_cell_mass_in_GK_rats,_these_effects_occur_earlier_in_gestation_and_therefore_differ_from_programming_by_CS_in_late_gestation.)__A_comparison_of_the_development_of_insulin_resistance_in_the_GK_rat_with_development_in_the_CS_programmed_rat_will_provide_insight_into_genetic_and_fetal_environmental_factors_in_disease_development._Superimposing_dietary_alterations_(i.e.,_high_fat_feeding)_(11)_on_both_animal_models_may_aid_in_the_dissection_of_multiple_interacting_factors_(genetic,_fetal_environmental_factors,_postnatal_environmental_factors)_on_the_development_and_progression_of_insulin_resistance_and_type_2_diabetes._Such_studies_may_also_aid_in_the_identification_of_useful_biomarkers_for_insulin_resistance_and_type_2_diabetes_in_humans."	"19074471,21356272,21364767,23236253"	"Public_on_Oct_21_2009"	"Rattus_norvegicus"	"PRJNA114005"	NA	"Expression_profiling_by_array"	"RNA"	"Gene_expression_data_of_the_adipose_tissue_from_GK_rat_1,_feeded_with_ND_and_sacrificed_at_4_weeks"
"data/GSE13nnn/GSE13269/matrix/metadata.txt.gz"	"GSE13269"	"Diabetes_biomarker_disease_progression_study_in_rat_gastrocnemius_muscle"	",Keywords:_Type_2_diabetes,_biomarker,_rat,_muscle,_time_series,Proposed_research:___Experiments_are_designed_to_study_disease_progression_and_the_development_of_insulin_resistance_in_two_animal_models:__the_GK_rat_and_the_CS_programmed_rat,_with_and_without_a_high_fat_diet_superimposed_on_these_models.__Animals_will_be_maintained_in_our_facility_from_weaning_(GK_rats)_or_birth_(CS_programmed_-_WKY),_and_body_weights_taken_weekly.__Appropriate_diets_(normal_or_high_fat)_will_be_introduced_at_weaning.__Groups_of_animals_(N=6)_will_be_sacrificed_at_5_different_ages:__4,_8,_12,_16,_and_20_weeks.__Plasma_samples_will_be_analyzed_for_markers_of_hyperglycemia,_hyperinsulinemia,_dyslipidimia,_and_for_selected_other_hormonal_factors_which_may_contribute_to_disease_etiology_(adiponectin,_leptin,_corticosterone)._At_sacrifice,_muscle_is_harvested,_flash-frozen_in_liquid_nitrogen,_and_warehoused_in_our_tissue_collection_maintained_at_-_80_degrees_C_for_this_and_possible_future_work.__Study_will_initially_focus_on_examination_of_selected_molecular_markers_of_insulin_resistance_at_the_mRNA_level_in_rat_gastrocnemius_muscles_(IRS-1,_PDK4).,The_goals_and_objectives:_To_study_Type_2_diabetes_progression_and_the_development_of_insulin_resistance_in_two_animal_models_with_and_without_a_high_fat_diet__superimposed_on_these_models.__Background:_Diabetes_is_a_systemic_metabolic_imbalance_involving_multiple_tissues/organs,_and_an_early_hallmark_feature_of_this_disease_state_is_insulin_resistance._Multifactorial_interactions_of_genetics,_prenatal_environmental_factors_(fetal_programming)_and_postnatal_environmental_factors_(nutrition_and_activity)_likely_contribute_to_the_diabetic_phenotype.Animal_models_can_serve_as_a_valuable_tool_for_studying_diabetes_disease_progression_and_for_identifying_useful_biomarkers_of_type_2_diabetes._Several_inbred_rodent_models_are_available_for_diabetes_related_studies.__The_GK_rat_is_an_obvious_choice_among_available_inbred_models_as_the_genetic_basis_for_this_inheritable_form_of_diabetes_is_polygenic_(5),_unlike_most_other_inbred_rodent_models_that_exhibit_single_gene_defects.__Many_of_the_characteristics_of_the_GK_rat_mirror_human_diabetes_(hyperglycemia,_glucose_intolerance,_insulin_resistance),_although_hyperlipidemia_does_not_appear_to_be_prominent_in_the_GK_rat.__Due_to_its_polygenic_mode_of_inheritance_and_100%_penetrance,_the_GK_rat_may_be_a_useful_model_for_human_diabetes._Induced_animal_models_can_also_be_useful_in_diabetes_studies._One_such_model_is_metabolic_syndrome_resulting_from_experimentally_induced_fetal_programming_(produced_by_maternal_malnutrition_or_by_exposure_to_corticosteroids_in_the_third_trimester).__Both_in_humans_and_animals,__accumulating_evidence_suggests_that_alterations_in_the_human_fetal_environment_can_result_in_permanent_physiologic_changes_that_manifest_as_increased_incidence_of_adult_onset_pathology.__Numerous_epidemiological_studies_have_forged_a_strong_link_between_low_birth_weight_and_the_development_of_metabolic_syndrome_in_adulthood.__From_such_observations_has_arisen_the_concept_of_“fetal_programming”_whereby_exposure_to_some_factor(s)_during_crucial_stages_in_development_can_permanently_alter_or_“reset”_physiologic/metabolic_functions.__In_the_rat,_exposure_to_corticosteroids_during_a_“window”_in_third_trimester_gestation_(CS_programming)_results_in_fetal_growth_retardation_and_insulin_resistance_in_adult_offspring.__Genetic_factors_play_a_primarily_role_in_the_etiology_of_diabetes_in_the_GK_rat,_whereas_fetal_environmental_factors_are_causative_in_CS_programming.__(It_should_be_noted_that_although_altered_fetal_environmental_effects,_most_likely_stemming_from_maternal_hyperglycemia,_have_been_implicated_to_play_some_role_in_the_decreased_pancreatic_B_cell_mass_in_GK_rats,_these_effects_occur_earlier_in_gestation_and_therefore_differ_from_programming_by_CS_in_late_gestation.)__A_comparison_of_the_development_of_insulin_resistance_in_the_GK_rat_with_development_in_the_CS_programmed_rat_will_provide_insight_into_genetic_and_fetal_environmental_factors_in_disease_development._Superimposing_dietary_alterations_(i.e.,_high_fat_feeding)_(11)_on_both_animal_models_may_aid_in_the_dissection_of_multiple_interacting_factors_(genetic,_fetal_environmental_factors,_postnatal_environmental_factors)_on_the_development_and_progression_of_insulin_resistance_and_type_2_diabetes._Such_studies_may_also_aid_in_the_identification_of_useful_biomarkers_for_insulin_resistance_and_type_2_diabetes_in_humans."	"19074471,21356272,21364767,23236253"	"Public_on_Oct_21_2009"	"Rattus_norvegicus"	"PRJNA114007"	NA	"Expression_profiling_by_array"	"RNA"	"Gene_expression_data_of_gastrocnemius_muscle_from_GK_rat_1,_feeded_with_ND_and_sacrificed_at_4_weeks"
"data/GSE13nnn/GSE13270/matrix/metadata.txt.gz"	"GSE13270"	"Diabetes_biomarker_disease_progression_study_in_rat_liver"	",Keywords:_Type_2_diabetes,_biomarker,_rat,_liver,_time_series,Proposed_research:___Experiments_are_designed_to_study_disease_progression_and_the_development_of_insulin_resistance_in_two_animal_models:__the_GK_rat_and_the_CS_programmed_rat,_with_and_without_a_high_fat_diet_superimposed_on_these_models.__Animals_will_be_maintained_in_our_facility_from_weaning_(GK_rats)_or_birth_(CS_programmed_-_WKY),_and_body_weights_taken_weekly.__Appropriate_diets_(normal_or_high_fat)_will_be_introduced_at_weaning.__Groups_of_animals_(N=6)_will_be_sacrificed_at_5_different_ages:__4,_8,_12,_16,_and_20_weeks.__Plasma_samples_will_be_analyzed_for_markers_of_hyperglycemia,_hyperinsulinemia,_dyslipidimia,_and_for_selected_other_hormonal_factors_which_may_contribute_to_disease_etiology_(adiponectin,_leptin,_corticosterone)._At_sacrifice,_muscle_is_harvested,_flash-frozen_in_liquid_nitrogen,_and_warehoused_in_our_tissue_collection_maintained_at_-_80_degrees_C_for_this_and_possible_future_work.__Study_will_initially_focus_on_examination_of_selected_molecular_markers_of_insulin_resistance_at_the_mRNA_level_in_rat_liver_(PEPCK,_PDK4).,The_goals_and_objectives:_To_study_Type_2_diabetes_progression_and_the_development_of_insulin_resistance_in_two_animal_models_with_and_without_a_high_fat_diet__superimposed_on_these_models.__Background:_Diabetes_is_a_systemic_metabolic_imbalance_involving_multiple_tissues/organs,_and_an_early_hallmark_feature_of_this_disease_state_is_insulin_resistance._Multifactorial_interactions_of_genetics,_prenatal_environmental_factors_(fetal_programming)_and_postnatal_environmental_factors_(nutrition_and_activity)_likely_contribute_to_the_diabetic_phenotype.Animal_models_can_serve_as_a_valuable_tool_for_studying_diabetes_disease_progression_and_for_identifying_useful_biomarkers_of_type_2_diabetes._Several_inbred_rodent_models_are_available_for_diabetes_related_studies.__The_GK_rat_is_an_obvious_choice_among_available_inbred_models_as_the_genetic_basis_for_this_inheritable_form_of_diabetes_is_polygenic_(5),_unlike_most_other_inbred_rodent_models_that_exhibit_single_gene_defects.__Many_of_the_characteristics_of_the_GK_rat_mirror_human_diabetes_(hyperglycemia,_glucose_intolerance,_insulin_resistance),_although_hyperlipidemia_does_not_appear_to_be_prominent_in_the_GK_rat.__Due_to_its_polygenic_mode_of_inheritance_and_100%_penetrance,_the_GK_rat_may_be_a_useful_model_for_human_diabetes._Induced_animal_models_can_also_be_useful_in_diabetes_studies._One_such_model_is_metabolic_syndrome_resulting_from_experimentally_induced_fetal_programming_(produced_by_maternal_malnutrition_or_by_exposure_to_corticosteroids_in_the_third_trimester).__Both_in_humans_and_animals,__accumulating_evidence_suggests_that_alterations_in_the_human_fetal_environment_can_result_in_permanent_physiologic_changes_that_manifest_as_increased_incidence_of_adult_onset_pathology.__Numerous_epidemiological_studies_have_forged_a_strong_link_between_low_birth_weight_and_the_development_of_metabolic_syndrome_in_adulthood.__From_such_observations_has_arisen_the_concept_of_“fetal_programming”_whereby_exposure_to_some_factor(s)_during_crucial_stages_in_development_can_permanently_alter_or_“reset”_physiologic/metabolic_functions.__In_the_rat,_exposure_to_corticosteroids_during_a_“window”_in_third_trimester_gestation_(CS_programming)_results_in_fetal_growth_retardation_and_insulin_resistance_in_adult_offspring.__Genetic_factors_play_a_primarily_role_in_the_etiology_of_diabetes_in_the_GK_rat,_whereas_fetal_environmental_factors_are_causative_in_CS_programming.__(It_should_be_noted_that_although_altered_fetal_environmental_effects,_most_likely_stemming_from_maternal_hyperglycemia,_have_been_implicated_to_play_some_role_in_the_decreased_pancreatic_B_cell_mass_in_GK_rats,_these_effects_occur_earlier_in_gestation_and_therefore_differ_from_programming_by_CS_in_late_gestation.)__A_comparison_of_the_development_of_insulin_resistance_in_the_GK_rat_with_development_in_the_CS_programmed_rat_will_provide_insight_into_genetic_and_fetal_environmental_factors_in_disease_development._Superimposing_dietary_alterations_(i.e.,_high_fat_feeding)_(11)_on_both_animal_models_may_aid_in_the_dissection_of_multiple_interacting_factors_(genetic,_fetal_environmental_factors,_postnatal_environmental_factors)_on_the_development_and_progression_of_insulin_resistance_and_type_2_diabetes._Such_studies_may_also_aid_in_the_identification_of_useful_biomarkers_for_insulin_resistance_and_type_2_diabetes_in_humans."	"19074471,21356272,21364767,23236253"	"Public_on_Oct_21_2009"	"Rattus_norvegicus"	"PRJNA114009"	NA	"Expression_profiling_by_array"	"RNA"	"Gene_expression_data_of_the_liver_from_GK_rat_1,_feeded_with_ND_and_sacrificed_at_4_weeks"
"data/GSE14nnn/GSE14549/matrix/metadata.txt.gz"	"GSE14549"	"Gene_expression_profiling_in_liver_of_mice_with_a_mutant_Wrn_protein_treated_with/without_vitamin_C_compared_to_WT_mice."	"Werner_syndrome_(WS)_is_a_rare_disorder_characterized_by_the_premature_onset_of_a_number_of_age-related_diseases._The_gene_responsible_for_WS_is_believed_to_be_involved_in_different_aspects_of_transcription,_replication,_and/or_DNA_repair._We_generated_a_mouse_model_with_a_deletion_in_the_helicase_domain_of_the_murine_WRN_homologue_that_recapitulates_most_of_the_WS_phenotypes_including_an_abnormal_hyaluronic_acid_excretion,_higher_reactive_oxygen_species_(ROS)_levels,_increased_genomic_instability_and_cancer_incidence_resulting_in_a_10-15%_decreased_life_span_expectancy._In_addition,_WS_patients_and_Wrn_mutant_mice_show_hallmarks_of_a_metabolic_syndrome_including_premature_visceral_obesity,_hypertriglyceridemia,_insulin-resistant_diabetes_type_2_and_associated_cardiovascular_diseases._In_this_study,_we_compared_the_expression_profile_of_liver_tissues_from_9_months_old_Wrn_mutant_and_wild_type_animals._Gene_set_enrichment_analysis_of_the_microarray_data_indicated_that_Wrn_mutant_mice_exhibited_down-regulation_of_genes_normally_decreased_in_several_transgenic_mouse_models_of_hepatoma_and_during_caloric_restriction._Wrn_mutant_mice_also_altered_the_expression_of_genes_involved_in_inflammation_as_well_as_in_glutathione_and_xenobiotic_metabolisms._These_results_indicate_that_Wrn_mutant_mice_respond_to_the_observed_oxidative_stress_by_altering_the_necessary_pathways_to_survive._Vitamin_C_supplementation_rescued_the_life_span_expectancy_of_Wrn_mutant_mice_and_reversed_several_age-related_abnormalities_in_adipose,_cardiac,_and_liver_tissues,_genomic_integrity_and_inflammatory_status._Finally,_gene_set_enrichment_analyses_revealed_that_vitamin_C_decreased_genes_normally_up_regulated_in_human_WS_fibroblasts_and_cancers_and_it_increased_genes_involved_in_tissue_injury_response_and_adipocyte_dedifferentiation_in_obese_mice."	"19741171,20974729"	"Public_on_Sep_08_2009"	"Mus_musculus,!Sample_organism_ch2"	"PRJNA111729"	NA	"Expression_profiling_by_array"	"RNA"	"WT_#1_vs._Wrn_mutant_#1"
"data/GSE14nnn/GSE14629/matrix/metadata.txt.gz"	"GSE14629"	"Effects_of_DEHP_on_the_hepatic_expression_of_a_selection_of_mouse_genes_related_to_nuclear_receptor_signaling."	",Keywords:_Treatment_effect,Phthalates_are_industrial_additives_widely_used_as_plasticizers._In_addition_to_deleterious_effects_on_male_genital_development,_population_studies_have_documented_correlations_between_phthalates_exposure_and_impacts_on_reproductive_tract_development_and_on_the_metabolic_syndrome_in_male_adults._In_this_study_we_investigated_potential_mechanisms_underlying_the_impact_of_di-(2-ethylhexyl)-phthalate_(DEHP)_on_adult_mouse_liver_in_vivo._A_parallel_analysis_of_hepatic_transcript_and_metabolic_profiles_from_adult_mice_exposed_to_varying_DEHP_doses_was_performed._Hepatic_genes_modulated_by_DEHP_are_predominantly_PPARα_targets._However,_the_induction_of_prototypic_cytochrome_P450_genes_strongly_supports_the_activation_of_additional_NR_pathways,_including_Constitutive_Androstane_Receptor_(CAR)._Integration_of_transcriptomic_and_metabonomic_profiles_revealed_a_correlation_between_the_impacts_of_DEHP_on_genes_and_metabolites_related_to_heme_synthesis_and_on_the_Rev-erbα_pathway_that_senses_endogenous_heme_level."	"19245819"	"Public_on_Feb_19_2009"	"Mus_musculus"	"PRJNA112283"	NA	"Expression_profiling_by_array"	"RNA"	"The_Type_column_in_the_raw_file_indicates_whether_the_spot_corresponds_to_background_(50%_DMSO_alone),_to_a_mouse_transcript_(mouse_cDNA_fragment_in_50%_DMSO)_or_to_a_yeast_spiked-in_mRNA_(yeast_cDNA_fragment_in_50%_DMSO)"
"data/GSE14nnn/GSE14920/matrix/metadata.txt.gz"	"GSE14920"	"Role_of_PPARalpha_in_the_effects_of_DEHP_on_the_hepatic_expression_of_a_selection_of_mouse_genes"	",Di-(2-ethylhexyl)-phthalate_(DEHP),_a_widely_used_plasticizer,_is_detected_in_consumer’s_body_fluids._Contamination_occurs_through_environmental_and_food_chain_sources._In_mouse_liver,_DEHP_activates_the_peroxisome_proliferator-activated_receptor_alpha_(PPARalpha)_and_regulates_the_expression_of_its_target_genes._Several_in_vitro_investigations_support_the_simultaneous_recruitment_of_additional_nuclear_receptor_pathways.__We_investigated,_in_vivo,_the_hepatic_impact_of_low_doses_of_DEHP_on_PPARalpha_activation,_and_the_putative_activation_of_additional_signalling_pathways._Wild-type_and_PPARalpha-deficient_mice_were_exposed_to_different_doses_of_DEHP._Gene_expression_profiling_delineated_the_role_of_PPARalpha_and_revealed_a_PPARalpha-independent_regulation_of_several_prototypic_Constitutive_Androstane_Receptor_(CAR)_target_genes.___This_finding_demonstrates_that_CAR_also_represents_a_transcriptional_regulator_sensitive_to_phthalates._CAR-mediated_effects_of_DEHP_provide_a_new_rationale_for_most_endpoints_of_phthalates_toxicity_described_previously,_including_endocrine_disruption,_hepatocarcinogenesis_and_the_metabolic_syndrome.,Keywords:_Treatment_effect,Role_of_PPARalpha_in_the_effects_of_DEHP_on_the_hepatic_expression_of_a_selection_of_mouse_genes_related_to_nuclear_receptor_signaling."	"19428328"	"Public_on_Feb_26_2009"	"Mus_musculus"	"PRJNA111905"	NA	"Expression_profiling_by_array"	"RNA"	"The_Type_column_in_the_raw_file_indicates_whether_the_spot_corresponds_to_background_(50%_DMSO_alone),_to_a_mouse_transcript_(mouse_cDNA_fragment_in_50%_DMSO)_or_to_a_yeast_spiked-in_mRNA_(yeast_cDNA_fragment_in_50%_DMSO)"
