PMID      SNP
16059715     NA
17535992     NA
20300640     NA
20338882     NA
20678967     NA
20844285     NA
21426570     NA
22002519     NA
22214347     NA
22666351     NA
22859400     NA
23590301     NA
23734707     NA
23771910     NA
24646999     rs9930506,rs9939609
25313081     NA
25494452     NA
25660083     NA
25996545     NA
26449484     rs1011731,rs1055144,rs10767664,rs10838738,rs1878047,rs2444217,rs3888190,rs3934834,rs4537545,rs713586,rs7498665
26492845     NA
26555194     NA
26699868     NA
27565901     rs6904596,rs7749305
27647830     NA
28068922     NA
